Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
19/12/2012,"53 Tegan Court, Tullamore",,Offaly,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2010,"34 college road, cork",,Cork,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2018,"26 Blossom Hill, Broomfield, Midleton",,Cork,"€270,925.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
17/08/2015,"52 TRINITY GARDENS, DROGHEDA, LOUTH",,Louth,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/12/2021,"94 BOROIMHE HAZEL, SWORDS, DUBLIN",,Dublin,"€377,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/07/2015,"Belamont Forest, Cootehill",,Cavan,"€2,050,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/10/2021,"KELLISTOWN EAST, RATHOE, TULLOW",,Carlow,"€380,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"2 Cuil Duin Row, Citywest",Dublin 24,Dublin,"€259,911.89",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
09/08/2019,"10 COLLEGE COURT, BALLYTRUCKLE, WATERFORD",,Waterford,"€185,500.00",No,No,Second-Hand Dwelling house /Apartment,
31/12/2014,"8 OAK MANOR, BALLINCOLLIG, MOUNTMELLICK",,Laois,"€64,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2020,"38 SCANLAN PARK, CASTLECONNELL, COUNTY LIMERICK",,Limerick,"€56,100.00",Yes,No,Second-Hand Dwelling house /Apartment,
06/07/2010,"65 Churchwell Road, Belmayne, Balgriggin Dublin 13",,Dublin,"€140,925.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/09/2011,"31 Glenabbey Road, Mount Merrion",,Dublin,"€612,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2020,"78 CASTLEKNOCK LAURELS, LAUREL LODGE, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,"€376,250.00",No,No,Second-Hand Dwelling house /Apartment,
07/12/2018,"65A WESTWOOD, CARRIGALINE, CORK",,Cork,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2017,"4 Parkside Way, Parkside, Malahide Road",Dublin 13,Dublin,"€390,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
11/07/2011,"25 O'Connell Gardens, Sandymount, Dublin",Dublin 4,Dublin,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2015,"16 KINGSWOOD, WATERPARK, CARRIGALINE",,Cork,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/02/2019,"11 RATHOWEN, DUNTAHANE RD, FERMOY",,Cork,"€188,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/03/2013,"RASSAN ROAD, BALLYJAMESDUFF",,Cavan,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/05/2015,"5 HARTWELL GREEN, KILL, KILDARE",,Kildare,"€400,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/05/2017,"APT 1, 3 4 COPE ST, DUBLIN 2",,Dublin,"€1,900,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"59 CARLTON VILLAS, CARLTON VILLAGE, YOUGHAL",,Cork,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2021,"10 DUNMORE HOLIDAY VILLAS, KILLEA RD, DUNMORE EAST",,Waterford,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2011,"13 A, Kenilworth Lane, Rathmines",Dublin 6,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2013,"21 The Grove, Pembroke Wood, Passage West",,Cork,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/08/2017,"74 TALBOT GREEN, WEXFORD, WEXFORD",,Wexford,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
27/11/2015,"KILCLEAGH, CASTLEDALY, MOATE",,Westmeath,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/07/2014,"1 ANTELOPE RD, MAUDLINTOWN, WEXFORD",,Wexford,"€59,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/03/2013,"11 Roseberry HIll, Newbridge",,Kildare,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/06/2015,"Barr na Tra, Ballinfull",,Sligo,"€61,674.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/11/2014,"15 PAIRC BEAG, LIS CARA, CARRICK ON SHANNON",,Leitrim,"€38,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2020,"MONAGHAN RD, CASTLEBLAYNEY, MONAGHAN",,Monaghan,"€287,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2014,"8 WHITE ABBEY LAWNS, KILDARE, KILDARE",,Kildare,"€233,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/12/2019,"29 OWENABUE DR, BALLEA RD, CARRIGALINE",,Cork,"€215,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
09/04/2015,"ASHLEY PARK, ARDONEY, NENAGH",,Tipperary,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2011,"115  High Meadows, Gouldavoher, Dooradoyle",,Limerick,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2020,"58 KILMORE RD, ARTANE, DUBLIN 5",Dublin 5,Dublin,"€335,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2010,"8 Castle Falls, Ross Road, Killarney",,Kerry,"€261,250.00",No,No,Second-Hand Dwelling house /Apartment,
20/03/2014,"71 IVY COURT, BEAUMONT WOODS, DUBLIN 9",,Dublin,"€101,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2018,"77 LIMETREE AVE, KILMINCHY, LAOIS",,Laois,"€217,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2010,"12 Willington Lawn, Templeogue, dublin",,Dublin,"€420,500.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2014,"44 COIS ABHAINN, TUAM, GALWAY",,Galway,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2021,"10 SOUTH SHORE COURT, LAYTOWN, COUNTY MEATH",,Meath,"€225,162.25",No,No,Second-Hand Dwelling house /Apartment,
04/11/2016,"7 BRACKLAGHBOY VILLAGE, BALLYHAUNIS, MAYO",,Mayo,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/04/2020,"BALLINAFAD, BALLYNAHINCH, GALWAY",,Galway,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2016,"DRIM, GLENCOLMCILLE, DONEGAL",,Donegal,"€65,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2021,"2 The Crescent, Silver Banks, Stamullen",,Meath,"€295,154.19",No,Yes,New Dwelling house /Apartment,
22/01/2016,"109 Slievemore Road, Drimnagh, Dublin 12",Dublin 12,Dublin,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/03/2015,"CALLAGHS, ARDLOUGHER, BALLYCONNELL",,Cavan,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/10/2016,"30 TUSKAR COURTYARD, MARINA VILLAGE, ARKLOW",,Wicklow,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/12/2019,"31 THE HOLLANDS, RHEBAN MANOR, ATHY",,Kildare,"€90,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/04/2012,"5 The Waterman Building, Charlesland, Greystones",,Wicklow,"€171,807.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
23/06/2011,"19 Ard Na Greine, Waterford",,Waterford,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/11/2012,"70 Whitestown Avenue, Blanchardstown",Dublin 15,Dublin,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2018,"1 CNOCBOFFIN, DROMOD, CO LEITRIM",,Leitrim,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2015,"BALLYMACMORRROUGH, KANTURK, CORK",,Cork,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/06/2012,"b4 The Old Presbytery, Cathedral Place, Killarney",,Kerry,"€190,000.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
30/04/2014,"20 CAISLEAN NA HABHANN, CASTLETROY, LIMERICK",,Limerick,"€76,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2012,"Ballyrisode, Toormore, Skibbereen",,Cork,"€22,500.00",Yes,No,Second-Hand Dwelling house /Apartment,
24/02/2021,"7 GREENORE PARK, ROSSLARE HARBOUR, WEXFORD",,Wexford,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2018,"ARD LOSAGAIN, NO 2B REDEMPTION ROAD, CORK",,Cork,"€156,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/08/2013,"8 The Rookery, Scramogue",,Roscommon,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2014,"LISEYRE, 67 AVENUE RD, DUNDALK",,Louth,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2016,"22 CLONCURRY HOUSE, SPENCER DOCK, WALL QUAY NORTH DUBLIN 1",Dublin 1,Dublin,"€455,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/09/2015,"CLIGGIN, DOON, LIMERICK",,Limerick,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/12/2019,"7 White Oaks Green, White Oaks, Newbridge",,Kildare,"€270,000.00",No,Yes,New Dwelling house /Apartment,
31/03/2011,"28  Barleyfields, Bealnamullia, Athlone",,Sligo,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/02/2012,"2 YORK AVENUE, RATHMINES",,Dublin,"€356,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2021,"10 CEDARWOOD, CASTLETOWN, CELBRIDGE",,Kildare,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2021,"Apartment 21 The Blake, Block 4  Level 6, Lansdowne Place",Dublin 7,Dublin,"€3,259,912.00",No,Yes,New Dwelling house /Apartment,
15/08/2012,"Glen Cottage, Tullyallen, Drogheda",,Louth,"€345,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2017,"6 THE TERRACE, GLENDUFF, KILBRITAIN VILLAGE",,Cork,"€10,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
20/07/2011,"The Paddock, Aughadown, Skibbereen",,Cork,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2017,"PATRICK STREET, BOYLE",,Roscommon,"€35,000.00",No,Yes,New Dwelling house /Apartment,less than 38 sq metres
04/01/2013,"27 BELLVIEW, CHURCH HILL MEADOWS, RAHEEN",,Limerick,"€185,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2014,"18 HARBOUR COURT, FRIARS MILL RD, MULLINGAR",,Westmeath,"€45,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2017,"ST CATHERINES RD, KILLYBEGS, DONEGAL",,Donegal,"€54,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/08/2016,"31 HOME VILLAS, DONNYBROOK, DUBLIN 4",Dublin 4,Dublin,"€505,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2012,"135  Silchester Park, Glenageary, Co. Dublin",,Dublin,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2015,"CARRICKAVELTY, LATTON PO, CASTLEBLANEY",,Monaghan,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2016,"34 LACKEN DRIVE, KILKENNY, CO KILKENNY",,Kilkenny,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2019,"SYCAMORE HOUSE, POTTLEBANE, CARNAROSS KELLS",,Meath,"€245,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/04/2018,"15 Hamilton Walk, Royal Canal Park, Ratoath Road",Dublin 15,Dublin,"€325,991.19",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/01/2019,"53 FR CUMMINS PARK, BAGENALSTOWN, CARLOW",,Carlow,"€122,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/11/2019,"73 THE PARK, KILLANE VIEW, EDENDERRY",,Offaly,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/03/2016,"11 COOLSHANNAGH VIEW, COOLSHANNAGH, MONAGHAN",,Monaghan,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2018,"37 Wilkins Court, Limekiln Lane, Dublin 12",Dublin 12,Dublin,"€497,797.35",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
08/10/2021,"80 DRUMFINN RD, BALLYFERMOT, DUBLIN 10",Dublin 10,Dublin,"€284,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2019,"GLENBOWER, COOLBAWN, TIPPERARY",,Tipperary,"€370,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2015,"MAIN STREET, CASTLETOWNSHEND, CO CORK",,Cork,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2019,"LASERIAN, THE ORCHARD, FARRANLEA PARK",,Cork,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/07/2018,"UNIT 6A, THOMAND VILLAGE, OLD CRATLOE",,Limerick,"€40,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2014,"ARD NA GREINE, DRUMDOIT DONEYLOOP, CASTLEFIN",,Donegal,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/08/2014,"TEACH NA ROTHAIR, DOOLISTOWN, TRIM",,Meath,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2021,"GLENCAR, 99 TEMPLEOGUE RD, TERENURE DUBLIN 6W",,Dublin,"€2,100,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2010,"48dodsboro road, adamstown",,Dublin,"€168,141.59",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/04/2019,"1 PRIMROSE CRESCENT THE PASTURES, LOVE LANE, CHARLEVILL",,Cork,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2019,"73 Cooline, Cobh, Co. Cork",,Cork,"€184,140.00",No,Yes,New Dwelling house /Apartment,
15/12/2014,"GLENDEVINE, GAYBROOK, MULLINGAR",,Westmeath,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/01/2018,"APT 1, DIGNAMS BAR, MAIN ST",,Monaghan,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2019,"APT 2 GARVANS COURT, HARBOUR BAY, DUNGARVAN",,Waterford,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/07/2010,"apt 20 block d, doolin house, calre village",Dublin 17,Dublin,"€169,950.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/03/2011,"1 Millbrook Avenue, Midleton, Co. Cork",,Cork,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/11/2019,"THE SQUARE, FETHARD, MAIN STREET",,Tipperary,"€82,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/03/2021,"2 MARINA WALK COTTAGES, LOUGH DERG HOLIDAY CENTRE, KILLALOE",,Clare,"€115,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/06/2020,"31 ACADEMY COURT, ACADEMY ST, KILDARE TOWN",,Kildare,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/07/2019,"115 KNOCKAPHUNTA PARK, CASTLEBAR, COUNTY MAYO",,Mayo,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/01/2015,"62 Brackernagh, Ballinasloe",,Galway,"€27,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/06/2013,"13B GLENVIEW, GALWAY ROAD, ROSCOMMON",,Roscommon,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/05/2020,"BADGER'S MOUNT, BALLYSALLAGH, GOLEEN",,Cork,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/09/2017,"758 ST PATRICKSROAD, CELBRIDGE, KILDARE",,Kildare,"€265,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2014,"Sea Watch, Adrigole, Beara",,Cork,"€50,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
16/01/2017,"CLAGGAN, BALLYCROY, WESTPORT",,Mayo,"€18,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"12 EGLINTON COURT, EYRE ST, GALWAY",,Galway,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/09/2019,"DERRIN, DUBLIN RD, BORRIS IN OSSORY",,Laois,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2020,"RADHARC NA LAOI, DROMANALLIIG, BALLINGEARY",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2018,"ARD RONAN, BALLYGUNNERMORE, GRANTSTOWN",,Waterford,"€278,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2010,"10 Lisieux Park, Glasheen Road",,Cork,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2017,"GLENDOWER HOUSE, CAHERCALLA RD, CAHERCALLA",,Clare,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2019,"APT 6, BRIDGEWATER COURT, DOMINICK ST",,Galway,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/01/2011,"107 Fortunes Lawn, Citywest",,Dublin,"€160,025.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
25/11/2016,"5 ROS NA GREINE, UPPER KILIMONEY, CARRIGALINE",,Cork,"€160,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/10/2021,"8 RATHMORE, AUGHRIM, WICKLOW",,Wicklow,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/01/2015,"5 MEADOW COURT, NEWCASTLE WEST, LIMERICK",,Limerick,"€218,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2021,"1 The Rise, Westfield, Leixlip",,Kildare,"€423,518.72",No,Yes,New Dwelling house /Apartment,
14/10/2019,"15 ARDKEEN, DUNTAHANE RD, FERMOY",,Cork,"€410,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2018,"6 Weavers Wood, Clonsilla",Dublin 15,Dublin,"€365,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/12/2020,"13 THe Walk, Bellingsmore, Kimartin",,Dublin,"€312,775.33",No,Yes,New Dwelling house /Apartment,
14/02/2011,"18 Beechgrove, Kildare",,Kildare,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/04/2017,"Apt 96 Abbot Court, Cualanor  Upper Glenageary Road, Dun Laoghaire",,Dublin,"€167,123.69",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/11/2014,"155 A KILLINARDEN ESTATE, TALLAGHT, DUBLIN 24",,Dublin,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2010,"12 Parkview, BlackhorseAvenue, Dublin 7",,Dublin,"€282,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/09/2018,"ROCK COTTAGE, BRITTAS BAY, WICKLOW",,Wicklow,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2021,"133 CRESTON AVE, FINGLAS, DUBLIN 11",Dublin 11,Dublin,"€192,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/02/2015,"CLONBUN, TRIM, MEATH",,Meath,"€305,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2016,"58 SACKVILLE CRESCENT, BLESSINGTON ST, DUBLIN 7",Dublin 7,Dublin,"€80,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2014,"APT 6E, CHERRYDALE COURT, DUBLIN RD",,Limerick,"€23,500.00",No,No,Second-Hand Dwelling house /Apartment,
23/09/2016,"12 DUN ORAN, ORANHILL, ORANMORE",,Galway,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2020,"TARMON, CASTLEREA, ROSCOMMON",,Roscommon,"€78,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/07/2014,"31 THE COURT, NEWTOWN MANOR, NEWTOWN",,Kildare,"€231,500.00",No,No,Second-Hand Dwelling house /Apartment,
26/10/2016,"2 AISLING COURT, DONEGAL RD, BALLYBOFEY",,Donegal,"€59,123.57",No,No,Second-Hand Dwelling house /Apartment,
18/02/2020,"ST JOSEPHS, PROSPECT, ATHENRY",,Galway,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/11/2015,"Glenview, Drinagh East, Dunmanway",,Cork,"€88,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/09/2019,"1 CLONILE, OLD CRATLOE RD, LIMERICK",,Limerick,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2021,"90 KILLEGLAND HALL, ASHBOURNE, MEATH",,Meath,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/08/2017,"20 GRANGE VIEW LAWNS, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/10/2012,"2 Inch, Ballynaglough, Blackwater",,Wexford,"€124,700.00",No,No,Second-Hand Dwelling house /Apartment,
01/11/2011,"11 Sliabh Breadh, Ardee",,Louth,"€140,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2021,"KNOCKNAGORE, KILKEE, CO CLARE",,Clare,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/07/2012,"44 Lakeglen, Portlaoise",,Laois,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2016,"25 FAIRWAY LAWNS, BETTYSTOWN, MEATH",,Meath,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2017,"32 Croftwell Square, School Road, Rathcoole",,Dublin,"€308,370.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
19/01/2021,"TIG ALAINN, BALLYROBIN SOUTH, CLOYNE",,Cork,"€365,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2017,"3 HOLLYMOUNT HOUSE, DENMARK ST, LIMERICK",,Limerick,"€77,812.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2019,"GORT NA COWLY, KILCROHANE, BANTRY",,Cork,"€520,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/08/2012,"17 Shenick Road, Skerries",,Dublin,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2020,"26 WOODBERRY HEIGHTS, CASTLEREDMOND, MIDLETON",,Cork,"€282,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/09/2016,"CORBALLY, MONAGEER, ENNISCORTHY",,Wexford,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/06/2015,"11 Meadowfields Avenue, Meadowfields, The Moyne  Enniscorthy",,Wexford,"€61,674.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
15/08/2019,"32 BLAINROE COTTAGES, BLAINROE, WICKLOW",,Wicklow,"€145,500.00",No,No,Second-Hand Dwelling house /Apartment,
02/10/2019,"6 Shakelton Abbey, Lucan",,Dublin,"€317,181.00",No,Yes,New Dwelling house /Apartment,
25/10/2013,"35 Balally Avenue, Dundrum",Dublin 14,Dublin,"€402,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/06/2018,"GROVE LODGE COUNTRY CLUB, KILLARNEY RD, KILORGLIN",,Kerry,"€107,700.00",No,No,Second-Hand Dwelling house /Apartment,
12/11/2015,"1 CLUAIN AITEANN, BREE, ENNISCORTHY",,Wexford,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2018,"4 PROBY PARK, BARNHILL RD, DALKEY",,Dublin,"€105,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
22/05/2018,"SALAAM, WEST COLLA, SCHULL",,Cork,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/09/2021,"8 NA FUINSEOGA, SPRING LANE, BLACKPOOL",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/10/2014,"7 SPRING RD, RIVERWAY, SOUTH DOUGLAS RD",,Cork,"€216,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"1 DONAGH PARK, CARNDONAGH, CO DONEGAL",,Donegal,"€74,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2017,"4 Landen Park, Oldtown Demesne, Naas",,Kildare,"€365,639.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/09/2017,"BLATH NA GREINE, BALLINLOUGH RD, CORK",,Cork,"€349,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/04/2019,"31 THE RISE, WHITEBARN, YOUGHAL",,Cork,"€197,500.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2018,"7 THE COURTYARD, HOLLYBANK AVE UPPER, RANELAGH",Dublin 6,Dublin,"€920,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2019,"1 VICTORIA COURT, CUSACK RD, ENNIS",,Clare,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/03/2020,"APT 11, BLOCK A, SMITHFIELD MARKET DUBLIN 7",Dublin 7,Dublin,"€160,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/11/2019,"143 FIODH MOR, ABBEYLANDS, FERRYBANK",,Kilkenny,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2019,"8 Summerfield, Dunmanway",,Cork,"€168,900.51",Yes,Yes,New Dwelling house /Apartment,
17/10/2014,"Cedar Lodge, Simmonsccourt Castle, Simmonscourt Road  Ballsbridge",,Dublin,"€1,234,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/09/2011,"Apartment 5, Block 12 Station Way, Clongriffin",,Dublin,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/03/2012,"76 Heathfield Terrace, Finglas",,Dublin,"€134,950.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
04/10/2013,"49 Burnell Park Avenue, Castleknock",Dublin 15,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2021,"5 SOUTH SQ, ROSSCARBERY, CORK",,Cork,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2021,"23 ST AIDANS VILLAS, ENNISCORTHY, CO WEXFORD",,Wexford,"€70,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/03/2015,"49 THE RECTORY, ENNISKERRY RD, STEPASIDE DUBLIN 18",Dublin 18,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2014,"CASSAGH, NEW ROSS, WEXFORD",,Wexford,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2010,"7 Nelson Street, Dublin 7",Dublin 7,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2021,"19 PINECOVE, DUNMORE EAST, WATERFORD",,Waterford,"€352,500.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2020,"36 PAIRC NA GCAPALL, KILWORTH, CORK",,Cork,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
