Date of Sale,Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
2012-03-14,"76 Heathfield Terrace, Finglas",,Dublin,134950.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2013-10-04,"49 Burnell Park Avenue, Castleknock",Dublin 15,Dublin,270000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-15,"5 SOUTH SQ, ROSSCARBERY, CORK",,Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-07-13,"23 ST AIDANS VILLAS, ENNISCORTHY, CO WEXFORD",,Wexford,70000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-03-12,"49 THE RECTORY, ENNISKERRY RD, STEPASIDE DUBLIN 18",Dublin 18,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-18,"CASSAGH, NEW ROSS, WEXFORD",,Wexford,230000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-07-13,"7 Nelson Street, Dublin 7",Dublin 7,Dublin,390000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-20,"19 PINECOVE, DUNMORE EAST, WATERFORD",,Waterford,352500.0,No,No,Second-Hand Dwelling house /Apartment,
2020-02-04,"36 PAIRC NA GCAPALL, KILWORTH, CORK",,Cork,173000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-23,"129 SEABOURNE VIEW, CHARLESLAND, GREYSTONES",,Wicklow,87500.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-17,"APARTMENT 6, 1-2 PIM STREET, DUBLIN 8",,Dublin,85000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-11-06,"40 THE ELMS, LOUGH NA GLACK, CARRICKMACROSS",,Monaghan,67387.39,No,No,Second-Hand Dwelling house /Apartment,
2017-03-09,"14 ARD NA GREINE, NEW ROSS, CO WEXFORD",,Wexford,95000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-08-16,"168 WEST AVE PARK GATE FRANKFIELD, DOUGLAS, CORK",,Cork,308000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-04-02,"50 DINGLE RD, CABRA, DUBLIN 7",Dublin 7,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-08-10,"21 CREMORNE, GREENMOUNT RD, TERENURE DUBLIN 6",Dublin 6,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-10-27,"Weavers Square, Baltinglass",,Wicklow,440000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-03-07,"1 COOLAGH WELL, PLATIN RD, DROGHEDA",,Louth,61500.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-23,"112 LOWER SALTHILL, GALWAY, GALWAY",,Galway,765000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-09-04,"ST JOSEPHS, PATRICK ST, DURROW",,Laois,90000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-01-20,"Apartment 5, 32 Mount Pleasant Square, Ranelagh",Dublin 6,Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-01-12,"TOWNLAND OF CORAWHILA, CORRY P O, CARRICK ON SHANNON",,Leitrim,15000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-05,"ST DECLANS 11 WILTON LAWN, GLASHEEN RD, CORK",,Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-11-26,"MARKET ST, ARDEE, LOUTH",,Louth,387548.0,No,No,Second-Hand Dwelling house /Apartment,
2012-03-09,"53 Garavogue Villas, Sligo",,Sligo,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-30,"160 Ardmore Hills, Mullingar",,Westmeath,317180.62,No,Yes,New Dwelling house /Apartment,
2012-11-28,"88 Bruachlan, Westbury",,Clare,35000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2015-10-06,"11 FUCHSIA DR, CHURCH RD, BALLYBUNNION",,Kerry,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-23,"TEADMORE, MIDLETON, COUNTY CORK",,Cork,42500.0,No,No,Second-Hand Dwelling house /Apartment,
2020-05-18,"APT 14 THE SLIDINGS, BEACH GROVE, LAYTOWN",,Meath,163000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-31,"103 LITTLEPACE PARK, CLONEE, DUBLIN 15",Dublin 15,Dublin,345000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-07-23,"12 GLENCAIRN THICKET, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin 18,Dublin,550000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-02-06,"37 ST BRENDANS CRESCENT, BALLINASLOE, GALWAY",,Galway,16500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-04-10,"BALLYMACANDRICK, CLOYNE, CORK",,Cork,220000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-28,"25 SEASCAPE, BROOMHALL COURT, KEATINGSTOWN",,Wicklow,330396.0,No,Yes,New Dwelling house /Apartment,
2016-06-28,"CORNADRUNG, AUGHNACLIFFE, LONGFORD",,Longford,157000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-03-05,"8 MOUNTFIELD, TRAMORE",,Waterford,190088.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-12-08,"115 GLENSIDE, ANNACOTTY, LIMERICK",,Limerick,266000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-12-19,"43 ARD NA CUAN, WHITEROCK, WEXFORD",,Wexford,264317.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2014-10-17,"16 CLUAIN UILINN, SPANISH POINT ROAD, MILTOWN MALBAY",,Clare,36492.0,No,No,Second-Hand Dwelling house /Apartment,
2014-04-17,"23 College Square, Wainsford Manor Drive, Terenure",Dublin 6w,Dublin,484581.48,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2016-01-08,"5 TALAVERA HOUSE, MYRTLE RD, THE COAST DUBLIN 13",Dublin 13,Dublin,148000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-02-12,"7 The Dale, Citywest Village, Citywest",,Dublin,295154.0,No,Yes,New Dwelling house /Apartment,
2020-11-24,"6 Hollywoodrath Green, Hollystown",Dublin 15,Dublin,311013.0,No,Yes,New Dwelling house /Apartment,
2019-08-23,"10 COLTHURST GARDENS, LUCAN, DUBLIN",,Dublin,317000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-26,"45 PEBBLE BAY, FRIARS HILL, WICKLOW",,Wicklow,450000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-12-14,"55 THE PLAZA, BALLYMUN, DUBLIN 11",Dublin 9,Dublin,145000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-01,"23A GREENMOUNT LAWNS, TERENURE, DUBLIN 6",Dublin 6,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-04-18,"10 ABBEY LANE, ABBEYFARM, CELBRIDGE",,Kildare,375000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-06-10,"Thomastown, Ballydangan, Athlone",,Roscommon,136000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-02-26,"5 Parklands Row, Parklands, CItywest",,Dublin,303964.75,No,Yes,New Dwelling house /Apartment,
2021-11-02,"14 The Walk, Citywest Village, Citywest",Dublin 24,Dublin,321585.0,No,Yes,New Dwelling house /Apartment,
2020-01-24,"43 NINETY EIGHT ST, CORK",,Cork,205000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-02-17,"35 CARYSFORT ROAD, DALKEY, CO DUBLIN",,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-15,"25A ASHBROOK, ENNIS RD, LIMERICK",,Limerick,337000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-05-18,"RYEWOOD HOUSE 11, BALLYCASEY COURT, SHANNON",,Clare,105000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-11-05,"BALLINAGLOUGH BRIDGE, CARRIGNAVAR, CORK",,Cork,250000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2017-07-28,"10 PARKHILL RISE, KILNAMANAGH, TALLAGHT DUBLIN 24",Dublin 24,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-17,"BALLYHARRY, LECAMEY, CO DONEGAL",,Donegal,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-17,"THE OLD POST OFFICE, THE LAMBE, BLESSINGTON",,Wicklow,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-08,"BALLYWATAIRE, GLENAMADDY RD, DUNMORE",,Galway,218000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-03-12,"4 Seabury Parade, Malahide",,Dublin,445000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-23,"26 CHAPEL COURT, CATHEDRAL PLACE, LIMERICK",,Limerick,156000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-05-01,"66 Burnell Green, Northern Cross, Malahide Road",Dublin 17,Dublin,132787.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2014-12-22,"Apartment 16  The Lodge, Seabrook Manor  Station Road, Portmarnock  Co. Dublin",,Dublin,240000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-09-10,"185 CLUAIN RIOCHARD, CASTLEGAR, GALWAY",,Galway,81000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-06-11,"22  THE WILLOWS, BALLINAHINCHWOOD, ASHFORD",,Wicklow,385000.0,No,Yes,New Dwelling house /Apartment,
2021-06-09,"44 BAYVIEW EST, COBH, CORK",,Cork,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-19,"403 MILLBROOK, JFK PARADE, SLIGO",,Sligo,52000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-08-15,"14  The Boulevard, Old Quarter, Ballincollig",,Cork,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-27,"86 FEARANN RI, DOUGHISKA, GALWAY",,Galway,56400.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-23,"MILL RD, DUNDALK, LOUTH",,Louth,80000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-02-19,"APT 4, 12 MILITARY RD, WATERFORD",,Waterford,41250.0,No,No,Second-Hand Dwelling house /Apartment,
2014-04-02,"32 The Willows, Castleheights  Kilmoney Road, Carrigaline",,Cork,145374.45,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2018-08-16,"9 The Lawn, Janeville, Cork Road",,Cork,320264.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2012-05-07,"Tonroe, Oranmore",,Galway,202000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-03-23,"Ballyegogue, Kilfinane",,Limerick,40000.0,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2018-06-26,"11 ABBOTT COURT THE HERMIYAGE, HOLYCROSS, THURLES",,Tipperary,125000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-11-15,"Roebuck, Cappagh, Kinsale",,Cork,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-01,"CLUAIN MHUIRE, CHURCH STREET, CLOYNE",,Cork,87500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-11-20,"24 Glasheen Park, Drumlish",,Longford,171806.17,No,Yes,New Dwelling house /Apartment,
2020-12-04,"81 GLENHERON VIEW, GLENHERON, GREYSTONES",,Wicklow,471365.0,No,Yes,New Dwelling house /Apartment,
2014-02-28,"2 THE ANCHORAGE, DUN LAOGHAIRE, CO DUBLIN",,Dublin,133000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-05-29,"10 ALVINA BROOK, WEXFORD, WEXFORD",,Wexford,148000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2015-12-01,"153 OLD CARAGH COURT, NAAS, KILDARE",,Kildare,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-05,"2 MACROOM AVENUE, COOLOCK, DUBLIN 17",Dublin 17,Dublin,225000.0,No,No,Second-Hand Dwelling house /Apartment,
2011-05-18,"1 Ridgewood, Herons Wood, Carrigaline",,Cork,215500.0,No,No,Second-Hand Dwelling house /Apartment,
2015-06-26,"AHAWILK, FEOGHENAGH, CO LIMERICK",,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-03-12,"Riverchapel, Courtown, Gorey",,Wexford,150000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-01-03,"17 FATIMA PLACE, KILKENNY, KILKENNY",,Kilkenny,105000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-08-16,"MISKAWN, BALLINAMORE, LEITRIM",,Leitrim,32000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-09-08,"BALLYMOUNTAIN HOUSE, INNISHANNON, CORK",,Cork,95000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-05-22,"13 STRAFFAN MANOR, NEW ROAD, STRAFFAN",,Kildare,690000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-06-14,"18 BEAUFIELD AVE, MAYNOOTH, KILDARE",,Kildare,212000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-01-08,"43 MEADOWBANK, BAILE NA NDEISE, CORK ROAD",,Waterford,110000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-09-23,"25 THE WATERFRONT, COBH, COUNTY CORK",,Cork,97000.0,No,No,Second-Hand Dwelling house /Apartment,
2022-01-06,"MAIN STREET, KILTIMAGH, CO. MAYO",,Mayo,70000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-11-03,"19 BROADFIELD COURT, BROADFIELD MANOR, RATHCOOLE",Dublin 24,Dublin,282500.0,No,No,Second-Hand Dwelling house /Apartment,
2013-01-11,"3 Oakwood Close, Shantalla, Galway",,Galway,123000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-11-14,"164 RUTLAND AVE, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-10-16,"29 BARRY PARK, FINGLAS WEST, DUBLIN 11",Dublin 11,Dublin,200000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-11-16,"THE OLD PIKE, GORTBOY, NEWCASTLEWEST",,Limerick,130000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-01-27,"43 O'DWYER'S VILLAS, THOMONDGATE, LIMERICK",,Limerick,115000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-11-25,"4 The Way, Ruxton Oaks, Navan",,Meath,290749.0,No,Yes,New Dwelling house /Apartment,
2014-07-22,"3 LANDSDOWNE VALLEY CRESCENT, KILWORTH RD, DRIMNAGH DUBLIN 12",Dublin 12,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-13,"141 Belvedere Hills, Ballinderry, Mullingar",,Westmeath,94500.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2016-05-12,"1 LINTOWN AVE, JOHNSWELL RD, KILKENNY",,Kilkenny,171000.0,No,No,Second-Hand Dwelling house /Apartment,
2012-10-18,"Cummer, Tuam",,Galway,135000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-06-30,"64 Woodlawn, Allenwood, Naas",,Kildare,196000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-07-16,"DRUMKEEN, GLENAMUCK RD, DUBLIN 18",Dublin 18,Dublin,2100000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-08-08,"32 DRUMBANNON, BAILIEBOROUGH, CAVAN",,Cavan,22800.0,Yes,No,Second-Hand Dwelling house /Apartment,
2014-07-30,"CHAPEL COURT, CHAPEL STREET, SWINFORD",,Mayo,62500.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-05,"24 BARROWVILLE, KILKENNY ROAD, CARLOW",,Carlow,277533.04,No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2015-12-07,"164 TEMPLE COURT, NORTHWOOD, SANTRY",,Dublin,182000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-10-09,"85 WESTCOURT, DROGHEDA, LOUTH",,Louth,220000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-10-23,"2 Ardan na Mara, Youghal",,Cork,144710.63,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2018-11-30,"16 ASHBROOK, AVENUE RD, DUNDALK",,Louth,136000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-04-08,"23 ST. DAVIDS WELL, BRIDGETOWN, CO WEXFORD",,Wexford,64000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-01-29,"BALLINABARNEY, GOREY, WEXFORD",,Wexford,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-21,"2 Abhainn Dubh, Rosehill, Mullagh",,Cavan,180457.0,No,Yes,New Dwelling house /Apartment,
2015-02-19,"Main Street, Kildorrery",,Cork,101000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-12-19,"6 Hawthorn Wood, Suncroft, Kildare",,Kildare,445000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-01-02,"1 Cluain na Ri, Ballycullane, New Ross",,Wexford,193833.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
2019-08-15,"23EDENMORE AVE, RAHENY, DUBLIN 5",Dublin 5,Dublin,295500.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-29,"9 THE POPLARS, MONKSTOWN VALLEY, MONKSTOWN",,Dublin,500000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-12-21,"12 THE WAY, HUNTERS RUN, CLONEE DUBLIN 15",Dublin 15,Dublin,316312.0,No,No,Second-Hand Dwelling house /Apartment,
2012-07-19,"6 Blackwood Park, Ongar Chase, Ongar",,Dublin,370000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-07-01,"KILLYCAR, MILLTOWN, BELTURBET",,Cavan,245000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-08-07,"7 KENNEDY PARK, THURLES, TIPPERARY",,Tipperary,120000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-09-09,"SLEVEEN HEIGHTS, MACROOM, COUNTY CORK",,Cork,356000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-05-30,"37 PORTAVOLLA, BANAGHER, OFFALY",,Offaly,53000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-20,"No. 40  Connaberry, Slavery, Buncrana",,Donegal,99100.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-06-30,"KARYON COTTAGE, MARYBOROUGH HILL, DOUGLAS",,Cork,975000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-12-22,"8 MAYDENHAYES ROAD, MAYDENHAYES, MORNINGTON",,Meath,251101.32,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-05-13,"APT 45, COLLINS SQ, BENBURB ST DUBLIN 7",Dublin 7,Dublin,260000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-21,"UPTON, KILMUCKRIDGE, GOREY",,Wexford,215000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-11-28,"17 The Green, Castle Farm, Jigginstown",,Kildare,292951.54,No,Yes,New Dwelling house /Apartment,
2019-09-03,"20 SEFTON HALL, KELSTON VIEW, LEOPARDSTOWN RD DUBLIN 18",Dublin 18,Dublin,1240000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-11-17,"40 Pairc na hAbhainn, Gortnahown, Athenry",,Galway,127753.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2011-11-07,"Drumbane, Raphe",,Donegal,128912.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2014-07-04,"22 Johns Bridge Walk, Lucan, County Dublin",,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-21,"40 WOODVALE AVE, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,265000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-04-29,"8  St. Patricks Cottages, Grange Road, Rathfarnham",Dublin 14,Dublin,350000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-01,"OLD GLEBE, KILLUCAN, CO. WESTMEATH",,Westmeath,126000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-01-02,"2 SURFSIDE APTS, MAIN ST, BUNDORAN",,Donegal,50000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-10-29,"40 MAUNSELLS PARK, GALWAY, GALWAY",,Galway,445000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-03-14,"134 UPPER DRUMCONDRA ROAD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,671250.0,No,No,Second-Hand Dwelling house /Apartment,
2018-05-08,"20 CARRAIGARD, CLOGHER FAILI, TRALEE",,Kerry,217000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-11-12,"Yellow Furze, Beauparc, Navan",,Meath,138000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-04-28,"APT 3, 9 BEAUPARK RD, DONAGHMEDE DUBLIN 13",Dublin 13,Dublin,250000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-05-10,"Filbuckstown, Mooncoin",,Kilkenny,195000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-01-08,"CAPPAGH BEG, BALLYDEHOB, CORK",,Cork,166000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-02-21,"RATHCOURSEY EAST, MIDLETON, CORK",,Cork,217500.0,No,No,Second-Hand Dwelling house /Apartment,
2019-08-19,"APT 2, RIDGEWAY HALL, VIRGINIA",,Cavan,396475.77,No,Yes,New Dwelling house /Apartment,
2021-01-07,"8 MILL LANE, DROGHEDA, LOUTH",,Louth,51000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-02-27,"KILMANNON, MURRINTOWN, CO WEXFORD",,Wexford,45000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-10-16,"32 THE HERON BUILDING, THORNWOOD, BOOTERSTOWN",,Dublin,625000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-08-04,"24 TOURNORE COURT, ABBEYSIDE, DUNGARVAN",,Waterford,247000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-05-13,"88 JAMESTOWN PARK, RATOATH",,Meath,290500.0,No,No,Second-Hand Dwelling house /Apartment,
2015-06-14,"131 HERMITAGE, CIRCULAR RD, ENNIS",,Clare,70000.0,Yes,No,Second-Hand Dwelling house /Apartment,
2018-02-21,"SHANRATH EAST, ATHY, KILDARE",,Kildare,461500.0,No,No,Second-Hand Dwelling house /Apartment,
2021-05-05,"DONAGHMORE LANE, NAVAN, CO. MEATH",,Meath,635000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-09-22,"BOLTON, CALLAN, KILKENNY",,Kilkenny,220000.0,No,No,Second-Hand Dwelling house /Apartment,
2013-12-20,"NEDANONE, CASTLECOVE",,Kerry,180000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-02,"128 WATERGATE ESTATE, TALLAGHT, DUBLIN 24",Dublin 24,Dublin,320000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-12-22,"81 CAHERANNE VILLAGE, BALLYVELLY, TRALEE",,Kerry,127000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-08-04,"2 GOLDENBRIDGE TERRACE, INCHICORE, DUBLIN 8",Dublin 8,Dublin,380000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-01-16,"GLENALEERISKA, RING",,Waterford,165000.0,No,No,Second-Hand Dwelling house /Apartment,
2016-03-07,"24 DRUM CARRAIG, CAVAN, CAVAN",,Cavan,106000.0,No,No,Second-Hand Dwelling house /Apartment,
2010-08-31,"129 Booterstown Avenue, Booterstown",,Dublin,720000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-07-17,"AGHAFARNAN, MILLTOWN, KILMAINHAMWOOD",,Meath,170000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-03-12,"KILABBEY, DRIPSEY, CORK",,Cork,420545.13,No,No,Second-Hand Dwelling house /Apartment,
2016-06-22,"183 Caislean na hAbhainn, Castletry",,Limerick,250000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2020-12-18,"1 Waverly Hill, Blacklion, Greystones",,Wicklow,555066.07,No,Yes,New Dwelling house /Apartment,
2015-10-13,"15 THE SEASONS, CARRIAGLINE, CORK",,Cork,99000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-07-25,"86 THE ELMS, RIDGEWOOD, SWORDS",,Dublin,348017.62,No,Yes,New Dwelling house /Apartment,
2014-12-23,"178 Curragh Woods, Frankfield, Cork",,Cork,300000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-05-25,"DONAGUILE HOUSE, DONAGUILE, CASTLECOMER",,Kilkenny,575000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-04-08,"12 CLUAIN ARD, ARDSALLAGHMORE, ROSCOMMON",,Roscommon,83820.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2021-02-12,"36 BRACKEN COURT, DONNYBROOK, DOUGLAS",,Cork,246000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-01-24,"74 SYCAMORE RD, FINGLAS EAST, DUBLIN 11",Dublin 11,Dublin,391500.0,No,No,Second-Hand Dwelling house /Apartment,
2010-01-22,"133 Ashewood Walk, Summerhill Lane, Portlaoise",,Laois,185000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2012-12-18,"Number 31 Primrose Square, Primrose Gardens  Jigginstown, Naas",,Kildare,40000.0,No,No,Second-Hand Dwelling house /Apartment,
2014-10-29,"16 SWALLOWBROOK VIEW, CLONEE, DUBLIN 15",Dublin 15,Dublin,290000.0,No,No,Second-Hand Dwelling house /Apartment,
2015-07-03,"36 RATHCLUAIN, CIRCULAR RD, KILTIMAGH",,Mayo,45000.0,No,No,Second-Hand Dwelling house /Apartment,
2021-01-27,"LYNFORD, 57 LAKE LAWN, WELL RD",,Cork,360000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-06-29,"6 CORBAWN GROVE, SHANKHILL, COUNTY DUBLIN",,Dublin,545000.0,No,No,Second-Hand Dwelling house /Apartment,
2020-06-17,"82 OTHERWISE KNOWN AS 81A, WOODLAWN PARK DRIVE, FIRHOUSE",,Dublin,154000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-11-15,"84 ELGIN HEIGHTS, BRAY, WICKLOW",,Wicklow,340000.0,No,No,Second-Hand Dwelling house /Apartment,
2017-09-07,"22 The Way, The Paddocks, Hansfield",,Dublin,287600.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2011-09-01,"75 Cornmill, Ballymote",,Sligo,51101.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres
2014-09-05,"CHURCH VIEW, KILGARVAN, KERRY",,Kerry,29000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-02-22,"24 Oaktree Green, Cunnaberry Hill, Tully Road",,Kildare,235682.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
2017-07-19,"APT 2, GORTAMULLEN, KENMARE",,Kerry,75000.0,No,No,Second-Hand Dwelling house /Apartment,
2019-04-16,"BALLYHOOEY, RAPHOE, COUNTY DONEGAL",,Donegal,79000.0,No,No,Second-Hand Dwelling house /Apartment,
2018-09-12,"94 River Crescent, Virginia",,Cavan,193832.6,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
